longitude,latitude,forecast_date,param,param_tag,54h,60h,66h,72h
89.75,27.5,14-09-2025,surface_area,surface,0,0,0,0
90,27.5,14-09-2025,surface_area,surface,0,0,0,0
90.25,27.5,14-09-2025,surface_area,surface,0,0,0,0
90.5,27.5,14-09-2025,surface_area,surface,0,0,0,0
90.75,27.5,14-09-2025,surface_area,surface,0,0,0,0
91,27.5,14-09-2025,surface_area,surface,0,0,0,0
91.25,27.5,14-09-2025,surface_area,surface,0,0,0,0
91.5,27.5,14-09-2025,surface_area,surface,0,0,0,0
91.75,27.5,14-09-2025,surface_area,surface,0,0,0,0
92,27.5,14-09-2025,surface_area,surface,0,0,0,0
88.75,27.25,14-09-2025,surface_area,surface,0,0,0,0
89,27.25,14-09-2025,surface_area,surface,0,0,0,0
89.25,27.25,14-09-2025,surface_area,surface,0,0,0,0
89.5,27.25,14-09-2025,surface_area,surface,0,0,0,0
89.75,27.25,14-09-2025,surface_area,surface,0,0,0,0
90,27.25,14-09-2025,surface_area,surface,0,0,0,0
90.25,27.25,14-09-2025,surface_area,surface,0,0,0,0
90.5,27.25,14-09-2025,surface_area,surface,0,0,0,0
90.75,27.25,14-09-2025,surface_area,surface,0,0,0,0
91,27.25,14-09-2025,surface_area,surface,0,0,0,0
91.25,27.25,14-09-2025,surface_area,surface,0,0,0,0
91.5,27.25,14-09-2025,surface_area,surface,0,0,0,0
91.75,27.25,14-09-2025,surface_area,surface,0,0,0,0
92,27.25,14-09-2025,surface_area,surface,0,0,0,0
88.75,27,14-09-2025,surface_area,surface,0,0,0,0
89,27,14-09-2025,surface_area,surface,0,0,0,0
89.25,27,14-09-2025,surface_area,surface,0,0,0,0
89.5,27,14-09-2025,surface_area,surface,0,0,0,0
89.75,27,14-09-2025,surface_area,surface,0,0,0,0
90,27,14-09-2025,surface_area,surface,0,0,0,0
90.25,27,14-09-2025,surface_area,surface,0,0,0,0
90.5,27,14-09-2025,surface_area,surface,0,0,0,0
90.75,27,14-09-2025,surface_area,surface,0,0,0,0
91,27,14-09-2025,surface_area,surface,0,0,0,0
91.25,27,14-09-2025,surface_area,surface,0,0,0,0
91.5,27,14-09-2025,surface_area,surface,0,0,0,0
91.75,27,14-09-2025,surface_area,surface,0,0,0,0
92,27,14-09-2025,surface_area,surface,0,0,0,0
88.75,26.75,14-09-2025,surface_area,surface,0,0,0,0
89,26.75,14-09-2025,surface_area,surface,0,0,0,0
89.25,26.75,14-09-2025,surface_area,surface,0,0,0,0
89.5,26.75,14-09-2025,surface_area,surface,0,0,0,0
89.75,26.75,14-09-2025,surface_area,surface,0,0,0,0
90,26.75,14-09-2025,surface_area,surface,0,0,0,0
